Sales Channel,Order Quantity,Discount Applied,Unit Cost,Unit Price,DeliveryDays
In-Store,4,0.15,3444.74,5219.3,3
Distributor,1,0.15,2359.94,3999.9,7
Online,5,0.4,1084.8,1721.9,0
In-Store,6,0.15,456.94,737.0,214
Online,3,0.05,695.06,1219.4,8
In-Store,8,0.05,712.88,891.1,0
In-Store,1,0.15,743.43,978.2,4
In-Store,1,0.15,1657.45,3946.3,273
In-Store,2,0.4,922.86,1299.8,31
Online,4,0.05,2791.49,5815.6,10
In-Store,6,0.15,655.26,1092.1,61
Distributor,6,0.15,643.2,1072.0,0
Online,5,0.05,2653.2,4020.0,31
Online,4,0.15,669.73,984.9,0
Distributor,7,0.05,100.23,227.8,59
In-Store,3,0.15,3314.36,3993.2,3
Online,4,0.075,185.72,221.1,39
Online,6,0.075,2819.63,3356.7,98
In-Store,1,0.05,1157.22,1701.8,0
In-Store,3,0.15,2181.19,2566.1,31
In-Store,4,0.05,126.03,221.1,4
In-Store,1,0.1,980.21,1782.2,0
Distributor,8,0.05,801.32,2003.3,1
Distributor,5,0.075,1502.68,2385.2,0
Online,1,0.1,1784.88,2231.1,0
In-Store,1,0.05,412.05,1005.0,150
Distributor,7,0.05,1939.25,2693.4,0
Online,4,0.075,652.25,1105.5,31
Online,1,0.075,1088.42,1909.5,0
Distributor,7,0.2,850.36,1118.9,5
In-Store,7,0.2,758.11,1038.5,0
In-Store,6,0.05,4300.86,6324.8,0
In-Store,7,0.2,502.5,1005.0,0
In-Store,5,0.075,659.48,1293.1,3
In-Store,6,0.4,540.29,844.2,10
In-Store,4,0.05,195.84,247.9,7
Distributor,7,0.3,139.36,174.2,2
In-Store,6,0.1,707.32,1025.1,0
Distributor,3,0.15,2301.45,3068.6,151
Online,2,0.075,115.78,241.2,61
In-Store,1,0.2,139.36,174.2,0
In-Store,2,0.2,1804.18,2505.8,128
Distributor,7,0.15,1637.75,2599.6,3
Online,6,0.15,1503.48,2278.0,4
Distributor,2,0.075,589.73,1092.1,8
Wholesale,5,0.2,933.98,1139.0,91
In-Store,2,0.15,1072.0,1675.0,242
Wholesale,2,0.05,687.96,1011.7,0
Wholesale,7,0.1,412.72,938.0,5
Wholesale,8,0.05,1052.1,2566.1,10
Distributor,5,0.1,374.53,871.0,8
In-Store,1,0.1,1789.7,2485.7,4
In-Store,4,0.4,1922.9,2345.0,4
Online,2,0.05,749.66,1118.9,0
In-Store,4,0.1,1397.62,1996.6,0
In-Store,1,0.075,390.61,710.2,0
Online,4,0.05,1790.91,3979.8,7
In-Store,3,0.075,440.79,1025.1,0
In-Store,7,0.2,1309.98,2519.2,153
Online,7,0.05,3471.87,5031.7,7
Online,1,0.1,768.22,1829.1,90
In-Store,5,0.075,900.48,1072.0,6
In-Store,1,0.2,1828.3,2539.3,0
In-Store,1,0.075,2027.69,3899.4,0
In-Store,3,0.2,3380.22,5045.1,3
Online,8,0.05,522.6,1005.0,1
Wholesale,7,0.1,1219.4,2438.8,0
In-Store,4,0.3,2035.33,3336.6,0
In-Store,4,0.15,857.06,1098.8,1
Online,2,0.075,970.43,1902.8,3
Online,4,0.075,2190.7,3477.3,67
Wholesale,1,0.1,1481.77,2599.6,4
Online,1,0.075,506.99,1078.7,2
Online,5,0.2,533.05,1045.2,4
Online,2,0.05,787.92,1125.6,3
In-Store,8,0.05,762.8,1105.5,2
Online,1,0.1,1668.03,2606.3,0
Distributor,8,0.075,95.68,227.8,304
Distributor,7,0.05,123.95,167.5,4
In-Store,3,0.1,538.48,1145.7,92
In-Store,7,0.075,2157.67,2599.6,0
Distributor,1,0.05,1969.8,3939.6,0
In-Store,8,0.075,1584.55,2881.0,3
In-Store,2,0.05,2003.3,3852.5,61
Wholesale,2,0.05,546.72,1139.0,183
Distributor,4,0.05,2040.55,2519.2,92
In-Store,1,0.15,703.63,1192.6,5
In-Store,5,0.075,1013.04,2412.0,70
In-Store,7,0.05,2057.57,2479.0,4
Wholesale,7,0.1,1330.35,1956.4,1
Online,5,0.3,722.73,1078.7,68
In-Store,1,0.075,945.91,1212.7,0
Online,5,0.075,821.69,978.2,36
In-Store,3,0.05,120.2,174.2,4
Online,3,0.15,630.34,1125.6,122
Online,6,0.15,468.73,1065.3,31
Online,5,0.075,2724.89,3892.7,6
Online,2,0.3,120.47,207.7,8
In-Store,7,0.3,948.72,1185.9,5
In-Store,2,0.15,1629.31,2586.2,0
In-Store,4,0.3,1960.42,2579.5,0
Online,8,0.075,2806.5,6378.4,6
Distributor,7,0.2,2226.14,3008.3,245
In-Store,3,0.075,930.36,1755.4,0
Online,8,0.075,740.35,1139.0,30
In-Store,5,0.075,4556.4,6157.3,4
Online,7,0.1,1093.24,2231.1,0
In-Store,7,0.1,1859.25,2479.0,3
Distributor,4,0.05,4793.85,6391.8,38
Wholesale,2,0.05,660.62,1139.0,1
Online,3,0.1,1681.03,2586.2,212
In-Store,4,0.05,1871.71,3899.4,122
In-Store,8,0.05,599.38,951.4,5
In-Store,1,0.05,3476.9,5607.9,4
In-Store,2,0.075,827.72,1165.8,214
Online,2,0.05,1520.77,1949.7,0
Distributor,8,0.1,2690.05,3685.0,0
Distributor,2,0.4,1816.84,2633.1,9
Online,1,0.075,460.96,1072.0,0
In-Store,1,0.075,1910.3,3537.6,30
In-Store,8,0.2,622.5,1092.1,3
In-Store,4,0.05,1136.66,1748.7,2
Online,8,0.075,739.61,891.1,5
In-Store,5,0.05,1510.18,3082.0,7
In-Store,5,0.075,776.66,1125.6,4
In-Store,6,0.075,651.51,1252.9,5
Wholesale,1,0.075,527.63,837.5,153
Wholesale,1,0.075,773.85,1031.8,10
Online,4,0.15,1454.97,2385.2,92
In-Store,2,0.05,1153.47,1802.3,2
Wholesale,5,0.05,753.62,1018.4,3
Online,7,0.4,1815.3,3946.3,153
In-Store,7,0.2,2095.09,3953.0,1
In-Store,6,0.075,3416.13,5098.7,6
Online,8,0.075,1954.52,3758.7,0
Distributor,7,0.15,610.5,911.2,123
Distributor,3,0.4,379.89,904.5,61
Online,3,0.05,410.04,911.2,0
Online,5,0.3,134.4,227.8,92
In-Store,4,0.075,117.12,254.6,6
Wholesale,3,0.075,444.21,683.4,1
In-Store,7,0.05,2234.12,3919.5,5
Wholesale,8,0.05,786.31,1092.1,1
In-Store,4,0.05,536.27,924.6,0
Online,8,0.05,794.35,1018.4,0
In-Store,7,0.2,1305.9,1788.9,3
Distributor,2,0.3,538.48,944.7,212
Wholesale,3,0.1,2573.81,3959.7,1
In-Store,5,0.05,70.35,167.5,6
Wholesale,2,0.05,1975.03,3872.6,8
In-Store,8,0.05,3858.13,6539.2,9
Distributor,1,0.1,779.08,1025.1,1
Distributor,3,0.1,572.18,938.0,9
Wholesale,3,0.075,804.8,1045.2,0
Wholesale,8,0.15,112.23,167.5,6
Online,5,0.075,1377.52,1721.9,1
Online,3,0.1,466.92,676.7,3
In-Store,2,0.075,82.08,167.5,0
In-Store,5,0.075,895.12,1118.9,0
Wholesale,3,0.075,933.98,1139.0,40
In-Store,4,0.1,751.94,1748.7,10
In-Store,8,0.05,1140.88,1728.6,7
Wholesale,8,0.075,500.49,1112.2,10
In-Store,6,0.05,1454.97,2385.2,5
Wholesale,8,0.3,172.46,221.1,0
Distributor,7,0.05,2682.95,5708.4,303
Online,1,0.3,830.8,1038.5,0
In-Store,4,0.15,3234.49,3993.2,0
Online,8,0.2,792.34,1085.4,90
Online,7,0.1,2020.72,3886.0,1
In-Store,3,0.2,2670.96,3986.5,4
Online,3,0.075,988.92,1206.0,3
Wholesale,1,0.3,1050.23,1842.5,3
Wholesale,3,0.05,2930.04,5051.8,6
Online,1,0.075,466.32,1165.8,7
Online,8,0.075,2340.18,3966.4,1
Online,3,0.2,1495.91,1802.3,0
Online,5,0.075,851.24,1105.5,9
Online,7,0.05,1398.16,1889.4,4
Online,7,0.075,661.96,1018.4,0
In-Store,5,0.05,2822.11,3865.9,1
Wholesale,7,0.1,449.24,998.3,0
Online,2,0.075,127.3,254.6,0
Online,5,0.4,316.58,703.5,89
Distributor,6,0.05,546.05,1092.1,127
Online,4,0.05,560.79,1038.5,0
In-Store,4,0.15,1894.89,2398.6,120
Wholesale,4,0.05,368.1,897.8,0
Distributor,7,0.15,3179.69,5212.6,0
Online,3,0.05,206.23,254.6,7
In-Store,4,0.075,2120.15,3926.2,0
Online,8,0.1,582.9,1165.8,0
In-Store,1,0.15,2354.11,3859.2,150
In-Store,6,0.05,100.5,167.5,2
Distributor,8,0.05,891.3,1681.7,2
Distributor,8,0.05,665.71,924.6,30
Distributor,6,0.1,3371.44,3966.4,0
Online,7,0.1,450.24,938.0,0
In-Store,6,0.2,1090.76,1983.2,31
In-Store,7,0.075,2094.82,2586.2,10
In-Store,3,0.05,2051.47,3061.9,0
Wholesale,1,0.2,452.32,1051.9,7
Distributor,8,0.15,104.52,261.3,6
In-Store,6,0.05,3071.95,6143.9,0
Distributor,7,0.2,1928.39,2472.3,0
In-Store,3,0.075,3075.23,3892.7,1
In-Store,1,0.05,492.05,964.8,184
In-Store,8,0.2,3104.24,3832.4,0
In-Store,7,0.2,781.49,964.8,0
In-Store,1,0.05,794.42,1118.9,5
Online,8,0.05,74.17,180.9,0
Distributor,7,0.05,346.12,844.2,31
In-Store,7,0.2,1780.26,3490.7,92
Online,5,0.2,778.54,1112.2,92
In-Store,1,0.05,568.16,1072.0,7
Distributor,3,0.075,906.11,1078.7,0
Wholesale,7,0.075,3857.93,5433.7,0
Online,8,0.05,3163.94,3906.1,4
Online,4,0.15,2090.07,2458.9,5
Distributor,3,0.075,856.39,1112.2,0
In-Store,4,0.05,745.71,1065.3,1
In-Store,6,0.075,1359.7,1862.6,6
Wholesale,7,0.2,1184.56,1822.4,0
Wholesale,7,0.05,575.26,1065.3,8
Online,3,0.05,4289.41,5875.9,7
In-Store,3,0.075,708.73,1728.6,151
Distributor,4,0.05,2452.74,3832.4,7
Distributor,1,0.05,861.08,1025.1,0
Distributor,4,0.05,944.16,1815.7,303
In-Store,2,0.075,1689.2,3839.1,3
In-Store,1,0.05,1430.99,2425.4,8
In-Store,6,0.15,1971.61,3865.9,6
In-Store,2,0.075,1857.24,2653.2,122
Online,2,0.15,594.96,991.6,0
Distributor,5,0.1,2060.25,2512.5,4
Distributor,6,0.1,1332.63,2613.0,40
Distributor,5,0.15,3375.86,5721.8,92
In-Store,2,0.075,831.34,1768.8,7
Online,5,0.1,1251.02,2606.3,0
Online,8,0.1,1569.41,2452.2,6
Distributor,1,0.05,694.66,964.8,6
Distributor,5,0.05,562.8,1125.6,214
Distributor,5,0.05,548.86,857.6,62
In-Store,7,0.075,1796.81,3906.1,1
In-Store,5,0.15,506.99,1078.7,4
Online,1,0.4,1264.69,2432.1,0
Online,8,0.05,536.54,958.1,275
Wholesale,8,0.05,726.01,864.3,0
In-Store,2,0.05,700.08,864.3,0
In-Store,6,0.075,579.22,891.1,0
Online,5,0.2,2069.5,3979.8,0
Online,5,0.1,469.0,837.5,4
Online,2,0.05,1738.65,2318.2,183
In-Store,6,0.05,801.86,1822.4,4
Distributor,4,0.15,664.51,1165.8,8
Distributor,7,0.05,187.6,234.5,8
Online,5,0.4,1912.72,2452.2,2
In-Store,8,0.05,133.26,261.3,3
Distributor,4,0.1,453.99,1031.8,0
Online,3,0.1,1849.2,3082.0,0
Distributor,3,0.05,3138.55,6405.2,3
In-Store,6,0.05,947.65,1822.4,0
Wholesale,8,0.05,1062.15,1279.7,184
Online,1,0.2,2635.04,3932.9,5
In-Store,3,0.15,80.4,201.0,0
Wholesale,1,0.1,2131.0,3946.3,0
Wholesale,7,0.2,1317.56,1909.5,0
In-Store,7,0.2,1109.52,2412.0,304
In-Store,6,0.05,675.36,964.8,153
Distributor,5,0.075,1457.52,1996.6,0
Online,7,0.15,700.28,1045.2,120
In-Store,1,0.2,3219.82,3879.3,8
Distributor,6,0.075,3466.31,5976.4,0
Online,1,0.05,1264.42,2257.9,0
Online,4,0.05,154.37,241.2,0
In-Store,8,0.075,793.28,1983.2,61
In-Store,1,0.05,3331.58,3919.5,153
Online,7,0.1,135.07,241.2,0
Online,4,0.075,2012.61,3946.3,8
Online,3,0.05,3054.13,3966.4,275
In-Store,5,0.1,1463.28,1829.1,0
In-Store,6,0.075,1230.12,2733.6,242
In-Store,8,0.075,717.57,844.2,9
In-Store,4,0.05,4922.49,6231.0,1
Online,3,0.05,614.32,1159.1,0
In-Store,1,0.15,2379.84,3966.4,9
Online,4,0.1,740.69,1105.5,9
In-Store,5,0.05,731.64,1125.6,5
Distributor,5,0.15,709.26,897.8,3
Online,5,0.2,83.08,207.7,184
In-Store,5,0.15,2138.24,3959.7,0
Online,7,0.075,912.81,1755.4,0
In-Store,3,0.2,1650.88,3001.6,30
Online,6,0.4,464.31,1031.8,122
In-Store,4,0.1,2776.48,3966.4,1
Online,5,0.1,1126.74,1681.7,30
In-Store,1,0.05,809.03,1172.5,5
Online,7,0.15,473.15,716.9,3
Distributor,7,0.075,3879.3,6465.5,1
Distributor,1,0.075,101.3,241.2,122
Online,1,0.05,849.02,1929.6,4
Distributor,8,0.1,3280.99,3953.0,10
Online,2,0.05,1320.97,2492.4,40
Online,7,0.075,185.72,241.2,2
In-Store,5,0.05,380.56,951.4,153
Distributor,4,0.2,5284.96,6217.6,6
In-Store,6,0.075,1246.4,2351.7,0
Distributor,6,0.1,871.87,1132.3,89
Distributor,3,0.1,607.22,1145.7,275
Distributor,3,0.075,2048.86,3725.2,0
Distributor,7,0.05,689.63,944.7,0
Online,3,0.075,560.92,1219.4,8
Distributor,4,0.075,736.33,1051.9,5
In-Store,2,0.075,135.01,207.7,0
Online,4,0.05,1098.93,1862.6,7
Wholesale,3,0.1,1152.53,1889.4,0
Distributor,8,0.15,2016.43,2653.2,5
Distributor,2,0.075,1818.38,3953.0,92
In-Store,3,0.05,191.35,227.8,6
Online,1,0.2,1551.72,3879.3,8
In-Store,1,0.15,804.8,1045.2,6
In-Store,2,0.1,2535.95,5071.9,6
In-Store,1,0.15,144.72,241.2,3
In-Store,8,0.2,1539.73,2298.1,181
In-Store,7,0.2,1845.98,3845.8,5
Wholesale,6,0.075,1042.92,2425.4,9
In-Store,8,0.05,663.3,1206.0,242
In-Store,8,0.075,179.09,221.1,7
Wholesale,3,0.075,2563.22,3825.7,303
Distributor,5,0.075,394.5,857.6,0
Online,3,0.075,2563.22,3825.7,0
Online,8,0.075,898.47,1996.6,8
Distributor,1,0.05,121.94,234.5,5
Online,8,0.075,948.05,1896.1,99
In-Store,2,0.1,87.23,207.7,0
Distributor,1,0.075,125.63,167.5,59
Wholesale,1,0.1,2591.23,3986.5,90
Online,8,0.4,1018.4,2546.0,0
Wholesale,1,0.075,380.29,864.3,10
Distributor,1,0.05,1350.72,1876.0,6
Online,5,0.075,163.61,247.9,304
Online,2,0.075,3435.22,5051.8,0
Wholesale,4,0.4,667.72,1011.7,3
In-Store,6,0.2,1247.94,1862.6,3
Online,6,0.1,660.49,1246.2,0
Distributor,1,0.1,1215.65,1688.4,120
In-Store,8,0.1,4673.72,5916.1,214
Online,3,0.1,2771.39,5132.2,9
In-Store,2,0.05,839.18,1118.9,28
In-Store,6,0.15,3968.28,5835.7,0
Distributor,5,0.2,3139.08,6036.7,61
Online,7,0.4,825.44,1031.8,1
Wholesale,5,0.1,4407.66,5956.3,61
Distributor,7,0.2,2989.0,3932.9,6
Distributor,5,0.2,4416.98,5889.3,304
Distributor,8,0.075,1647.46,2458.9,31
Online,8,0.075,2034.66,3912.8,4
Distributor,2,0.075,3570.97,5668.2,3
Online,1,0.15,4216.18,5547.6,6
Distributor,1,0.15,96.48,201.0,31
In-Store,6,0.075,198.32,247.9,0
In-Store,1,0.05,3125.95,3859.2,0
In-Store,3,0.05,3127.76,5487.3,9
In-Store,6,0.15,1157.76,1809.0,31
In-Store,7,0.4,1731.82,2405.3,2
Wholesale,1,0.15,672.01,790.6,5
Online,2,0.1,2177.77,3202.6,4
Distributor,5,0.2,645.75,1058.6,0
Distributor,8,0.4,778.27,1768.8,0
In-Store,5,0.1,534.33,971.5,0
Online,4,0.1,478.38,938.0,4
Online,5,0.2,756.9,958.1,1
Online,8,0.05,2111.91,3705.1,0
Wholesale,8,0.075,686.82,1025.1,0
Online,7,0.075,1711.31,2592.9,4
Wholesale,1,0.15,3054.06,3865.9,0
Distributor,8,0.05,4226.03,5634.7,0
Distributor,3,0.05,621.76,971.5,92
In-Store,4,0.15,694.25,1051.9,6
In-Store,7,0.075,683.74,1051.9,6
Online,2,0.2,854.25,1139.0,0
In-Store,8,0.075,3041.53,5849.1,67
Online,4,0.075,1222.88,2264.6,214
In-Store,7,0.075,889.22,1125.6,7
Online,7,0.05,755.09,1078.7,0
Wholesale,4,0.15,1635.6,2405.3,8
In-Store,1,0.05,707.52,1072.0,0
Distributor,1,0.3,3369.16,5808.9,1
In-Store,6,0.2,1845.31,3926.2,3
Distributor,8,0.1,160.8,201.0,38
Online,1,0.1,1430.85,1882.7,7
Wholesale,6,0.05,1089.02,2532.6,8
Online,8,0.05,135.01,207.7,97
Online,6,0.2,180.9,241.2,6
In-Store,6,0.075,507.06,1152.4,10
Distributor,5,0.3,2288.79,3879.3,7
Online,4,0.1,3170.04,3865.9,4
Online,6,0.075,1248.34,1835.8,0
In-Store,5,0.15,180.57,234.5,9
In-Store,2,0.15,507.26,757.1,7
Wholesale,8,0.05,703.5,1005.0,1
In-Store,2,0.05,5113.44,6391.8,6
In-Store,8,0.15,1123.52,2740.3,0
Online,3,0.15,536.27,924.6,2
In-Store,5,0.15,505.58,1031.8,0
Distributor,1,0.2,769.16,1098.8,7
Wholesale,3,0.05,713.35,1132.3,214
Distributor,3,0.05,1602.64,2465.6,37
Online,6,0.1,462.3,1005.0,6
In-Store,2,0.1,1021.88,1246.2,4
In-Store,6,0.3,809.83,1025.1,0
In-Store,1,0.2,1084.6,1902.8,3
Distributor,2,0.05,2056.23,3738.6,0
In-Store,6,0.075,1237.89,1996.6,6
In-Store,3,0.15,1818.65,2331.6,66
In-Store,6,0.1,701.16,1078.7,8
In-Store,4,0.15,1216.45,1788.9,0
In-Store,3,0.1,161.6,241.2,4
In-Store,5,0.1,533.19,1159.1,0
Online,7,0.1,515.43,1051.9,1
In-Store,3,0.15,3343.03,5969.7,8
Online,3,0.3,2508.48,3919.5,31
Online,4,0.15,492.32,1118.9,10
In-Store,5,0.05,570.64,1118.9,3
In-Store,4,0.1,3744.63,5427.0,6
Distributor,2,0.05,2570.39,3725.2,0
Online,3,0.05,75.04,187.6,5
In-Store,7,0.075,3359.92,3999.9,0
Online,1,0.15,592.62,971.5,2
In-Store,5,0.075,727.29,1118.9,0
Online,6,0.4,501.29,864.3,4
In-Store,6,0.05,4394.4,5782.1,3
Distributor,5,0.05,461.3,904.5,0
Online,8,0.15,158.66,247.9,8
Distributor,2,0.15,1213.04,1708.5,8
Distributor,6,0.05,702.03,1132.3,8
Wholesale,6,0.05,1225.1,1775.5,9
In-Store,8,0.2,970.43,1902.8,3
In-Store,3,0.1,2802.61,5963.0,0
Wholesale,3,0.1,2176.16,3886.0,0
In-Store,6,0.075,635.16,1058.6,2
Online,4,0.05,4419.86,5815.6,2
Online,6,0.05,4496.77,5353.3,4
In-Store,4,0.075,4565.51,5567.7,3
In-Store,3,0.1,2135.63,2512.5,4
In-Store,3,0.075,1227.64,1681.7,3
In-Store,7,0.05,136.01,194.3,10
In-Store,4,0.05,1683.71,2405.3,5
Online,1,0.2,706.18,1038.5,6
In-Store,3,0.2,591.74,857.6,4
In-Store,8,0.1,1354.81,1855.9,0
Online,2,0.05,2585.8,5621.3,8
Distributor,8,0.1,649.23,1139.0,0
In-Store,7,0.05,1834.33,2264.6,1
In-Store,4,0.1,566.02,884.4,1
In-Store,5,0.075,382.7,683.4,10
Online,1,0.075,481.8,1025.1,61
Wholesale,7,0.4,2276.46,3731.9,0
Online,2,0.1,3229.27,5567.7,4
In-Store,6,0.1,525.55,991.6,0
Online,8,0.1,3043.48,3852.5,10
In-Store,1,0.05,1835.87,3906.1,0
Online,1,0.15,2354.65,5118.8,0
Online,7,0.05,4404.31,6117.1,90
Distributor,6,0.1,850.83,1025.1,6
In-Store,7,0.15,462.9,944.7,0
In-Store,3,0.2,656.06,1025.1,5
In-Store,8,0.1,2045.38,3859.2,1
Wholesale,4,0.1,91.32,194.3,10
In-Store,4,0.05,4638.08,6184.1,92
Distributor,3,0.2,916.16,1728.6,10
In-Store,6,0.1,772.98,931.3,30
In-Store,6,0.3,2797.92,3886.0,2
Distributor,3,0.4,96.15,234.5,2
In-Store,3,0.075,1989.9,3979.8,0
Wholesale,1,0.075,1846.19,3356.7,0
In-Store,6,0.1,1309.98,2519.2,0
In-Store,3,0.05,460.63,837.5,0
In-Store,2,0.1,2552.03,3926.2,123
In-Store,5,0.05,4797.87,6231.0,9
Online,4,0.075,2871.02,3932.9,10
Distributor,4,0.075,2816.14,3966.4,242
Distributor,1,0.075,1581.07,2291.4,1
In-Store,5,0.4,2059.85,3678.3,8
Distributor,7,0.075,3039.92,3999.9,188
Online,8,0.15,575.13,991.6,0
Online,6,0.2,4248.74,5447.1,5
Online,3,0.075,1054.45,2452.2,91
In-Store,4,0.15,469.2,998.3,181
In-Store,4,0.2,577.81,1313.2,0
In-Store,1,0.1,1658.25,2512.5,0
Wholesale,6,0.05,3528.76,5346.6,122
In-Store,2,0.1,2496.42,3618.0,0
Online,7,0.075,1500.8,1876.0,6
In-Store,1,0.1,201.13,254.6,1
In-Store,3,0.15,1530.28,3825.7,5
In-Store,6,0.15,1620.86,2251.2,67
Distributor,8,0.075,3090.24,4013.3,91
Wholesale,1,0.05,836.16,1072.0,122
Distributor,3,0.15,2090.07,2458.9,0
In-Store,8,0.075,1013.04,1809.0,66
Online,7,0.05,1158.16,1728.6,122
Online,6,0.075,2677.32,3718.5,0
In-Store,3,0.05,150.15,180.9,157
